Price,Close,High,Low,Open,Volume
Ticker,GOLD,GOLD,GOLD,GOLD,GOLD
Date,,,,,
2017-07-03,6.155423641204834,6.184999222763814,6.040818350805972,6.184999222763814,16600
2017-07-05,6.062999248504639,6.222707936907199,6.026029599004399,6.203483775578067,5200
2017-07-06,6.14802885055542,6.28111930457544,6.033423573558961,6.033423573558961,35400
2017-07-07,6.177605628967285,6.410513968756515,6.177605628967285,6.192393773459476,24400
2017-07-10,6.159121036529541,6.369847155578852,6.159121036529541,6.369847155578852,6000
2017-07-11,5.737669467926025,6.2108788557054195,5.737669467926025,6.2108788557054195,66800
2017-07-12,5.538032531738281,5.94469729032708,5.538032531738281,5.759849736890122,62200
2017-07-13,5.587942123413086,5.611972505669455,5.453003477898542,5.5565180214715975,16800
2017-07-14,5.478882312774658,5.660033214231821,5.478882312774658,5.545427556271934,17200
2017-07-17,5.563911437988281,5.563911437988281,5.508456960326035,5.549123647792095,12800
2017-07-18,5.486276149749756,5.604578486379797,5.482579113587874,5.482579113587874,9800
2017-07-19,5.460397720336914,5.575003023293942,5.460397720336914,5.501064061294443,9800
2017-07-20,5.512154579162598,5.550972752889719,5.453003412120094,5.453003412120094,10400
2017-07-21,5.538032531738281,5.541729567423515,5.508456951393866,5.5121539870791,30400
2017-07-24,5.497366905212402,5.549124353768156,5.491821350970038,5.549124353768156,17200
2017-07-25,5.456700801849365,5.575003143601506,5.456700801849365,5.545427558163471,22600
2017-07-26,5.5158514976501465,5.541730044537334,5.489972950762959,5.489972950762959,9000
2017-07-27,5.508456707000732,5.560214146591506,5.508456707000732,5.560214146591506,6000
2017-07-28,5.560216426849365,5.560216426849365,5.508458966032736,5.508458966032736,7400
2017-07-31,5.571305274963379,5.615668646492838,5.508457077154462,5.532487457088379,8800
2017-08-01,5.726577281951904,5.726577281951904,5.582396411859184,5.61566867625607,16600
2017-08-02,5.704395294189453,5.787576477062206,5.663728609054202,5.763546451583955,3600
2017-08-03,5.730274677276611,5.767244332351061,5.633045027386698,5.708092813718189,6400
2017-08-04,5.708093166351318,5.785729164748832,5.708093166351318,5.748759859959262,6200
2017-08-07,5.989063262939453,6.022335891466495,5.704397754491525,5.704397754491525,24800
2017-08-08,6.066697120666504,6.0777882285874485,5.9705763007641925,6.026030430093888,23600
2017-08-09,6.196091651916504,6.221970203158384,5.999413957340577,6.063001153943821,68600
2017-08-10,6.136940002441406,6.210878613833723,6.059303649571254,6.1739096607063555,25600
2017-08-11,6.048213481903076,6.1258491326677325,6.011243822194264,6.011243822194264,26800
2017-08-14,6.03896951675415,6.155423678342898,6.007545769655793,6.155423678342898,23000
